t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
108000.75,,,,,1344000:1344000:1344000:1651200:1651200:1651200:1651200:1977600
108001.78,,,,,1555200:1555200:1555200:1651200:1651200:1651200:1651200:1977600
108002.82,,,,,1555200:1555200:1555200:1651200:1651200:1651200:1651200:1977600
108003.84,,,,,1228800:1228800:1228800:1651200:1651200:1651200:1651200:1977600
108004.88,,,,,1555200:1555200:1555200:1651200:1651200:1651200:1651200:1977600
108005.90,,,,,902400:902400:902400:1651200:1651200:1651200:1651200:1977600
108006.93,,,,,672000:672000:672000:1651200:1651200:1651200:1651200:1977600
108007.96,,,,,556800:556800:556800:1651200:1651200:1651200:1651200:1977600
108009.00,,,,,1459200:1459200:1459200:1651200:1651200:1651200:1651200:1977600
108010.02,,,,,1555200:1555200:1555200:1651200:1651200:1651200:1651200:1977600
108011.05,,,,,556800:556800:556800:1651200:1651200:1651200:1651200:1977600
108012.10,,,,,1459200:1459200:1459200:1651200:1651200:1651200:1651200:1977600
108012.18,,,,,556800:556800:556800:1651200:1651200:1651200:1651200:1977600
108013.22,,,,,1555200:1555200:1555200:1651200:1651200:1651200:1651200:1977600
108014.26,,,,,1017600:1017600:1017600:1651200:1651200:1651200:1651200:1977600
108014.38,,,,,556800:556800:556800:1651200:1651200:1651200:1651200:1977600
108014.47,,,,,1555200:1555200:1555200:1651200:1651200:1651200:1651200:1977600
108015.51,,,,,1344000:1344000:1344000:1651200:1651200:1651200:1651200:1977600
