t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
107674.88,,,,,1785600:1785600:1785600:2323200:2323200:2323200:2323200:2592000
107675.91,,,,,1459200:1459200:1459200:2323200:2323200:2323200:2323200:2592000
107675.97,,,,,787200:787200:787200:2323200:2323200:2323200:2323200:2592000
107677.01,,,,,1344000:1344000:1344000:2323200:2323200:2323200:2323200:2592000
107678.04,,,,,1344000:1344000:1344000:2323200:2323200:2323200:2323200:2592000
107679.07,,,,,787200:787200:787200:2323200:2323200:2323200:2323200:2592000
107680.11,,,,,556800:556800:556800:2188800:2188800:2188800:2188800:2476800
107681.15,,,,,672000:672000:672000:2188800:2188800:2188800:2188800:2476800
107682.17,,,,,672000:672000:672000:2188800:2188800:2188800:2188800:2476800
107683.21,,,,,672000:672000:672000:2188800:2188800:2188800:2188800:2476800
107684.24,,,,,672000:672000:672000:2188800:2188800:2188800:2188800:2476800
107685.27,,,,,672000:672000:672000:2188800:2188800:2188800:2188800:2476800
107686.30,,,,,672000:672000:672000:2188800:2188800:2188800:2188800:2476800
107687.34,,,,,787200:787200:787200:2188800:2188800:2188800:2188800:2476800
107688.37,,,,,672000:672000:672000:2188800:2188800:2188800:2188800:2476800
107689.40,,,,,672000:672000:672000:2054400:2054400:2054400:2054400:2342400
107690.43,,,,,672000:672000:672000:2054400:2054400:2054400:2054400:2342400
107691.46,,,,,1344000:1344000:1344000:2054400:2054400:2054400:2054400:2342400
107691.57,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107692.60,,,,,1344000:1344000:1344000:2054400:2054400:2054400:2054400:2342400
107693.64,,,,,556800:556800:556800:2054400:2054400:2054400:2054400:2342400
107694.68,,,,,1113600:1113600:1113600:2054400:2054400:2054400:2054400:2342400
107695.71,,,,,556800:556800:556800:2054400:2054400:2054400:2054400:2342400
107695.87,,,,,556800:556800:556800:2054400:2054400:2054400:2054400:2342400
107696.91,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
