t_s,current_uA,voltage_uV,batt_temp_deciC,status,cpu_freqs_kHz
107798.57,,,,,556800:556800:556800:1920000:1920000:1920000:1920000:2227200
107799.62,,,,,1344000:1344000:1344000:1920000:1920000:1920000:1920000:2227200
107800.65,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107801.67,,,,,787200:787200:787200:1920000:1920000:1920000:1920000:2227200
107801.78,,,,,672000:672000:672000:1920000:1920000:1920000:1920000:2227200
107802.81,,,,,672000:672000:672000:1920000:1920000:1920000:1920000:2227200
107803.84,,,,,787200:787200:787200:1920000:1920000:1920000:1920000:2227200
107804.87,,,,,672000:672000:672000:1920000:1920000:1920000:1920000:2227200
107805.90,,,,,672000:672000:672000:1920000:1920000:1920000:1920000:2227200
107806.94,,,,,672000:672000:672000:1920000:1920000:1920000:1920000:2227200
107807.97,,,,,672000:672000:672000:1920000:1920000:1920000:1920000:2227200
107809.01,,,,,672000:672000:672000:1920000:1920000:1920000:1920000:2227200
107810.04,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107811.07,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107811.17,,,,,1555200:1555200:672000:1785600:1785600:1785600:1785600:2092800
107812.20,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107813.25,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107813.38,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107814.42,,,,,1228800:1228800:1228800:1785600:1785600:1785600:1785600:2092800
107815.44,,,,,1459200:1459200:1459200:1785600:1785600:1785600:1785600:2092800
107815.57,,,,,1459200:1459200:1459200:1785600:1785600:1785600:1785600:2092800
107816.61,,,,,1344000:1344000:1344000:1785600:1785600:1785600:1785600:2092800
107817.63,,,,,1113600:1113600:1113600:1785600:1785600:1785600:1785600:2092800
107818.67,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107819.71,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107820.74,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107821.78,,,,,1344000:1344000:1344000:1785600:1785600:1785600:1785600:2092800
107822.81,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107822.97,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107824.00,,,,,1113600:1113600:1113600:1785600:1785600:1785600:1785600:2092800
107825.03,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107826.07,,,,,1113600:1113600:1113600:1785600:1785600:1785600:1785600:2092800
107827.10,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107828.15,,,,,1228800:1228800:1228800:1785600:1785600:1785600:1785600:2092800
107829.18,,,,,556800:556800:556800:2054400:2054400:2054400:2054400:2342400
107830.23,,,,,1344000:1344000:1344000:2054400:2054400:2054400:2054400:2342400
107830.38,,,,,787200:787200:787200:2054400:2054400:2054400:2054400:2342400
107831.42,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107832.45,,,,,1228800:1228800:1228800:2054400:2054400:2054400:2054400:2342400
107833.49,,,,,672000:672000:672000:2054400:2054400:2054400:2054400:2342400
107834.52,,,,,787200:787200:787200:2054400:2054400:2054400:2054400:2342400
107835.55,,,,,1555200:1555200:1555200:2054400:2054400:2054400:2054400:2342400
107836.57,,,,,672000:672000:672000:2054400:2054400:2054400:2054400:2342400
107837.61,,,,,672000:672000:672000:2054400:2054400:2054400:2054400:2342400
107838.64,,,,,672000:672000:672000:2054400:2054400:2054400:2054400:2342400
107839.67,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107840.70,,,,,787200:787200:787200:1920000:1920000:1920000:1920000:2227200
107841.73,,,,,787200:787200:787200:1920000:1920000:1920000:1920000:2227200
107842.76,,,,,1228800:1228800:1228800:1920000:1920000:1920000:1920000:2227200
107843.79,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107844.81,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107845.83,,,,,1228800:1228800:1228800:1920000:1920000:1920000:1920000:2227200
107845.97,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107847.01,,,,,1228800:1228800:1228800:1920000:1920000:1920000:1920000:2227200
107848.04,,,,,1228800:1228800:1228800:1920000:1920000:1920000:1920000:2227200
107849.08,,,,,1555200:1555200:1555200:1920000:1920000:1920000:1920000:2227200
107850.10,,,,,902400:902400:902400:1785600:1785600:1785600:1785600:2092800
107851.14,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107852.19,,,,,1113600:1113600:1113600:1785600:1785600:1785600:1785600:2092800
107853.22,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107854.25,,,,,1344000:1344000:1344000:1785600:1785600:1785600:1785600:2092800
107855.27,,,,,1344000:1344000:1344000:1785600:1785600:1785600:1785600:2092800
107856.30,,,,,1459200:1459200:1459200:1785600:1785600:1785600:1785600:2092800
107857.33,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107858.36,,,,,1228800:1228800:1228800:1785600:1785600:1785600:1785600:2092800
107859.39,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107860.42,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107861.46,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107862.48,,,,,1344000:1344000:1344000:1785600:1785600:1785600:1785600:2092800
107863.51,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107863.57,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107864.61,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107865.64,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107866.67,,,,,787200:787200:787200:1785600:1785600:1785600:1785600:2092800
107867.70,,,,,787200:787200:787200:1785600:1785600:1785600:1785600:2092800
107868.73,,,,,1228800:1228800:1228800:1785600:1785600:1785600:1785600:2092800
107869.77,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107869.87,,,,,1344000:1344000:1344000:1785600:1785600:1785600:1785600:2092800
107870.90,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107871.93,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107872.97,,,,,1459200:1459200:1459200:1785600:1785600:1785600:1785600:2092800
107874.01,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107875.05,,,,,1555200:1555200:1555200:1785600:1785600:1785600:1785600:2092800
107876.09,,,,,1113600:1113600:1113600:1785600:1785600:1785600:1785600:2092800
107877.13,,,,,556800:556800:556800:1785600:1785600:1785600:1785600:2092800
107878.16,,,,,672000:672000:672000:1785600:1785600:1785600:1785600:2092800
107879.20,,,,,556800:556800:556800:1651200:1651200:1651200:1651200:1977600
107880.25,,,,,1555200:1555200:1555200:1651200:1651200:1651200:1651200:1977600
107881.28,,,,,1555200:1555200:1555200:1651200:1651200:1651200:1651200:1977600
107882.30,,,,,1555200:1555200:1555200:1651200:1651200:1651200:1651200:1977600
107883.34,,,,,1017600:1017600:1017600:1651200:1651200:1651200:1651200:1977600
107884.38,,,,,1459200:1459200:1459200:1651200:1651200:1651200:1651200:1977600
107885.41,,,,,556800:556800:556800:1651200:1651200:1651200:1651200:1977600
